# Source: 00_Model_Link.xlsx
# Path: \\Nas\공용_시장조사팀\01_상품기획파트\02_기획-상품관리\02_상품관리_메타등록\00_Model_Link.xlsx
# mtime: 2026-08-24T16:02:09
# Sheets: FTC, 개념
# Mode: low-load read_only extract

## FTC
Model | LinkModel | Product_code
CA-C01-121-S | CA-C01-121-S | 0
CA-C01-435-S | CA-C01-435-S | 0
CA-C01-445-S | CA-C01-445-S | 0
CA-C01-113-S | CA-C01-113-S | 0
CA-C01-002 | CA-C01-002 | 0
TM-F16-CH | TM-F16-CH | 0
TM-F26-CH | TM-F26-CH | 0
TM-R71-KK | TM-R71-KK | 0
tm-R03 | tm-R03- | 466
tm-R05 | tm-R05- | 773
tm-N05 | tm-N05- | 774
tm-V05 | tm-V05- | 775
tm-R04 | tm-R04- | 776
tm-R01 | tm-R01- | 777
tm-R02 | tm-R02- | 778
tm-R09 | tm-R09- | 779
tm-T01 | tm-T01- | 780
tm-T02 | tm-T02- | 781
tm-P06 | tm-P06- | 783
tm-P76 | tm-P76 | 784
tm-R14 | tm-R14- | 787
tm-LR3 | tm-LR3- | 788
tm-S07 | tm-S07- | 789
tm-R12 | tm-R12- | 790
tm-LR1 | tm-LR1- | 791
tm-A78 | tm-A78 | 793
tm-P23 | tm-P23- | 794
tm-T22 | tm-T22- | 795
tm-R24 | tm-R24- | 796
tm-L24 | tm-L24- | 797
tm-L22 | tm-L22- | 798
tm-W23 | tm-W23- | 799
tm-W24 | tm-W24- | 800
tm-PK3 | tm-PK3 | 801
TF-L520-BS | TF-L520-BS | 802
TF-L520-WS | TF-L520-WS | 803
TF-E730-GL | TF-E730-GL | 804
TF-E730-NW | TF-E730-NW | 805
TF-C950-BL | TF-C950-BL | 806
TF-C950-WL | TF-C950-WL | 807
TF-C951-BG | TF-C951-BG | 965
TF-E731-NW | TF-E731-NW | 1272
TF-E731-GM | TF-E731-GM | 1273
TF-E731-GR | TF-E731-GR | 1274
TF-E731-GL | TF-E731-GL | 1275
TF-E650-LL | TF-E650-LL | 1276
TF-E650-LC | TF-E650-LC | 1277
TF-E650-CW | TF-E650-CW | 1278
TF-E650-GY | TF-E650-GY | 1279
TF-E650-GL | TF-E650-GL | 1280
TF-E620-RK | TF-E620-RK | 1281
TF-E620-GY | TF-E620-GY | 1282
TF-E620-BO | TF-E620-BO | 1283
TF-E620-GG | TF-E620-GG | 1284
TF-E620-NR | TF-E620-NR | 1285
TF-L410-BF | TF-L410-BF | 1313
TF-L410-GG | TF-L410-GG | 1314
TF-L410-GL | TF-L410-GL | 1315
TF-L410-GP | TF-L410-GP | 1316
TF-L410-GR | TF-L410-GR | 1317
TF-L410-NG | TF-L410-NG | 1318
TF-L410-NP | TF-L410-NP | 1319
TF-L410-WR | TF-L410-WR | 1320
tm-R26 | tm-R26- | 1347
tm-V24 | tm-V24- | 1348
tm-V25 | tm-V25- | 1349
tm-WT22 | tm-WT22- | 1350
tm-WP23 | tm-WP23- | 1351
tm-WV24 | tm-WV24- | 1352
tm-WV26 | tm-WV26- | 1353
TF-C951-GL | TF-C951-GL | 1364
TF-C951-BB | TF-C951-BB | 1365
TF-C951-BY | TF-C951-BY | 1366
TF-L421-CG | TF-L421-CG | 1367
TF-L421-BB | TF-L421-BB | 1368
TF-L421-GR | TF-L421-GR | 1376
TF-L421-GL | TF-L421-GL | 1377
TF-L530-GL | TF-L530-GL | 1378
TF-L530-BY | TF-L530-BY | 1379
TM-XMS | TM-XMS | 1380
TM-P77 | TM-P77- | 1382
TF-C951-BL | TF-C951-BL | 1404
TF-L421-NR | TF-L421-NR | 1412
TF-L421-GS | TF-L421-GS | 1414
TF-L421-GF | TF-L421-GF | 1422
TF-L421-GB | TF-L421-GB | 1426
TM-F14-BK_old_old | TM-F14-BK_old_old | 1441
TM-F14-GY_old_old | TM-F14-GY_old_old | 1442
TM-F14-DG_old_old | TM-F14-DG_old_old | 1443
TM-F24-RD_old_old | TM-F24-RD_old_old | 1444
TM-F24-GY_old_old | TM-F24-GY_old_old | 1445
TM-F24-BK_old_old | TM-F24-BK_old_old | 1446
TF-L417-OM | TF-L417-OM | 1465
TF-L417-RN | TF-L417-RN | 1466
TF-L417-BY | TF-L417-BY | 1467
TF-L413-LG | TF-L413-LG | 1468
TF-L413-GO | TF-L413-GO | 1469
TF-L421-RR | TF-L421-RR | 1471
TF-L413-PM | TF-L413-PM | 1475
TF-L417-SO | TF-L417-SO | 1476
TF-L417-YS | TF-L417-YS | 1501
TF-L413-SG | TF-L413-SG | 1502
TM-F14-RD_old_old | TM-F14-RD_old_old | 1506
TF-L417-LB | TF-L417-LB | 1507
TF-L413-RW | TF-L413-RW | 1511
TF-L417-NO | TF-L417-NO | 1512
TF-L413-PC | TF-L413-PC | 1612
TF-L417-WG | TF-L417-WG | 1613
TF-C951-WG | TF-C951-WG | 1616
TF-L413-GY | TF-L413-GY | 1624
TF-E620-SO | TF-E620-SO | 1625
TF-E620-GO | TF-E620-GO | 1626
TF-E620-RO | TF-E620-RO | 1627
TF-L417-LY | TF-L417-LY | 1721
TF-L417-MW | TF-L417-MW | 1722
TF-L413-MG | TF-L413-MG | 1723
TF-L413-NL | TF-L413-NL | 1724
tm-R03/tm-S07BO/BO | tm-R03/tm-S07BO/BO | 1725
tm-R03/tm-S07BS/BS | tm-R03/tm-S07BS/BS | 1726
tm-R03/tm-S07WS/BS | tm-R03/tm-S07WS/BS | 1727
TM-A78-BB | TM-A78-BB | 1740
TM-A78-WW | TM-A78-WW | 1741
TM-L22-BB | TM-L22-BB | 1742
TM-L22-WW | TM-L22-WW | 1743
TM-L24-BB | TM-L24-BB | 1744
TM-L24-WW | TM-L24-WW | 1745
TM-LR1-BB | TM-LR1-BB | 1746
TM-LR1-WW | TM-LR1-WW | 1747
TM-LR3-BB | TM-LR3-BB | 1748
TM-LR3-WW | TM-LR3-WW | 1749
TM-N05-BO | TM-N05-BO | 1750
TM-N05-BS | TM-N05-BS | 1751
TM-N05-WS | TM-N05-WS | 1752
TM-P06-BB | TM-P06-BB | 1753
TM-P06-BO | TM-P06-BO | 1754
TM-P06-BS | TM-P06-BS | 1755
TM-P06-NO | TM-P06-NO | 1756
TM-P23-BB | TM-P23-BB | 1757
TM-P23-BO | TM-P23-BO | 1758
TM-P23-GG | TM-P23-GG | 1759
TM-P76-KK | TM-P76-KK | 1760
TM-P77-BR | TM-P77-BR | 1761
TM-PK3-BB | TM-PK3-BB | 1762
