# Model row index (structured)

Use for model matching, Garment-TPO Gate, and scene brief. Prefer this over raw sheet scan.
Line names normalized to Strategy v3.1 canon. See `data/CQR_LINEUP_V31_OVERLAY.md`.

model | tier | line | temp | fabric | region | background | asin | sheet
--- | --- | --- | --- | --- | --- | --- | --- | ---
TFP500 | M | Liberator-Modern | - | 라이트플렉스 | - | ⭐ TACTICAL URBAN |  | Pants_ripstop
TFP503 | M | Liberator-Modern | - | 고신축사 ver. | - | ⭐ TACTICAL URBAN |  | Pants_ripstop
TFP530 | M | Liberator-Modern | - | 라이트플렉스 | - | ⭐ TACTICAL URBAN |  | Pants_ripstop
TFP571 | M | Liberator-Modern | - | 고신축사 ver. | - | ⭐ TACTICAL URBAN |  | Pants_ripstop
TFP572 | M | Liberator-Modern | - | 라이트플렉스 | - | ⭐ TACTICAL URBAN |  | Pants_ripstop
TFP600 | M | Liberator-Modern | - | 라이트플렉스 | - | ⭐ TACTICAL URBAN |  | Pants_ripstop
TLP002 | M | 확인필요(Liberator -) | - | 립스탑 | - | ⭐ TACTICAL URBAN | B0DSBHR6BP | Pants_ripstop
TLP117 | M | Liberator-Legacy | - | 립스탑 | - | ⭐ TACTICAL URBAN | B0CFQ571ND | Pants_ripstop
TLP125 | M | Liberator-Black | - | 립스탑 | - | ⭐ TACTICAL URBAN | B0DKHW1XN9 | Pants_ripstop
TLP127 | M | Liberator-Modern | - | 립스탑 | - | ⭐ TACTICAL URBAN | B0CXJ59F15 | Pants_ripstop
TLP135 | M | Liberator-Black | - | 립스탑 | - | ⭐ TACTICAL URBAN | B0D2NTW631 | Pants_ripstop
TLP731 | M | 확인필요(Liberator - Black/Modern) | - | 립스탑 | - | ⭐ TACTICAL URBAN | B0F321G41R | Pants_ripstop
TLP760 | M | Liberator-Modern | - | 립스탑 | - | ⭐ TACTICAL URBAN |  | Pants_ripstop
TLP761 | M | Liberator-Modern | - | 립스탑 | - | ⭐ TACTICAL URBAN | B0D97LPS5H | Pants_ripstop
TLP762 | M | Liberator-Modern | - | 립스탑 | - | ⭐ TACTICAL URBAN |  | Pants_ripstop
TLP763 | M | Liberator-Modern | - | 립스탑 | - | ⭐ TACTICAL URBAN | B0DFN19NFD | Pants_ripstop
TLP470 | M | Covert | 20~30 | 어센드 | 가을의 갈대밭,건조한 환경 | 여름 |  | Pants_LT
TXP102 | M | Covert | 낮: -0 ~10°C | 나일론도비 | 가을의 갈대밭,건조한 환경 | 여름 |  | Pants_LT
TXP110 | M | Covert | 10~15 | 나일론컴포트 | 가을의 갈대밭,건조한 환경 | 여름 |  | Pants_LT
TXP140 | M | Covert | 20~30 | 트루워크T2 | 가을의 갈대밭,건조한 환경 | 여름 |  | Pants_LT
TXP202 | M | 확인필요(라인) | 15~25 | NS드라이 | 암석. 수목한계선이상 | 여름 | B0F381PJTR | Pants_LT
TXP203 | M | 확인필요(Expedition-Alpinist / hu) | 5~15 | NS드라이 | 지역 | 여름 | B0F5H7QQGQ | Pants_LT
TXP406 | M | Covert | 20~30 | 어센드 | 가을의 갈대밭,건조한 환경 | 여름 |  | Pants_LT
TXP410 | M | Covert | 20~30 | 어센드 | 가을의 갈대밭,건조한 환경 | 여름 |  | Pants_LT
TXP441 | M | Expedition-Alpinist | 20~30 | NS드라이 | 계곡, 숲가운데 | 여름 평지 밀림 개척 | B081SGCF2H | Pants_LT
TXP700 | M | Expedition-Alpinist | 온도 | 트루워크T1 | 가을의 갈대밭,건조한 환경 | 여름 | B09MB4Q8DN | Pants_LT
TXP710 | M | Expedition-Alpinist | 낮: 5 ~ 20°C | 원단사양 | 가을의 갈대밭,건조한 환경 | 여름 | B0DSBHMTNB | Pants_LT
TXP900 | M | Expedition-Rider | 낮: 5 ~ 15C | 나일론도비 | 가을의 갈대밭,건조한 환경 | 여름 | B0D529LXLX | Pants_LT
TOK001 | L | 확인필요(Lib) | 25~33도 | 폴리소로나150 | - 미국 남부 소도시 | EXPEDITION RIDER | B084MCQQPS | Shirts
TOK002 | L | Liberator-Black | 20~27°C | 인터락메쉬165->145 | - 미국 남부 소도시 | - | B0DR29G391 | Shirts
TOK004 | M | Covert | Scouting (7월~8월 초) : 10~32 | NS드라이 | - 미국 남부 소도시 | EXPEDITION RIDER |  | Shirts
TOK100 | L | Covert | 22~30도 | 인터락메쉬165->145 | - 미국 남부 소도시 | Southern Small Town — Federal Agent | B0D7C5Q2FD | Shirts
TOK171 | L | Liberator-Modern | N/A | 벤투라135 | - 미국 남부 소도시 | EXPEDITION RIDER | B08BRBPFL3 | Shirts
TOK271 | L | Liberator-Modern | 22~30도 | 인터락메쉬165->145 | - 미국 남부 소도시 | EXPEDITION RIDER | B081R3SW8H | Shirts
TOL102 | L | Covert | Scouting (7월~8월 초) : 10~32 | 택티컬스판 | - 미국 남부 소도시 | EXPEDITION RIDER |  | Shirts
TOS101 | L | Liberator-Modern | Scouting (7월~8월 초) : 10~32 | 인터락메쉬165->145 | - 미국 남부 소도시 | EXPEDITION RIDER | B08S78CYZG | Shirts
TOS120 | L | Liberator-Modern | Scouting (7월~8월 초) : 10~32 | 인터락메쉬165->145 | - 미국 남부 소도시 | EXPEDITION RIDER | B0822GZZ8R | Shirts
