# Source: 00_NEW_상품라인업.xlsx
# Path: \\Nas\공용_시장조사팀\01_상품기획파트\05_상품개발\00_NEW_상품라인업.xlsx
# mtime: 2026-08-21T11:36:27
# Sheets: CQR, TSLA_ATHLIO
# Mode: low-load read_only extract

## CQR
브랜드 | 이미지 | 구모델 | 모델명 | 발주서명 | 라인1 | 라인2 | 시리즈이름(OPT) | 스타일이름 | 원단이름 | 원단 정보 | 슬로건 | PR | 1번 | 스와치 컬러 | 스와치 포즈 | 촬영리뷰 파일 | 시즌
CQR |  |  | TLP002 | 립스탑팬츠 | Liberator | Legacy |  | HAULER | Duratex | TC 65/35 RIPSTOP | Be All You Aim For. | KR05011_CQTLP002_PR | 모델컷 | 화이트 | 모델컷 | 2024_12 | 사계절
CQR |  |  | TLP117 | 립스탑팬츠 | Liberator | Legacy |  | SCOUTER | Duratex | TC 65/35 RIPSTOP | Built to Last | KR04041_CQTLP107_PR | 모델컷 | 화이트 | 모델컷 | 2025_03 | 사계절
CQR |  |  | TLP127 | 립스탑팬츠 | Liberator | Legacy |  | RAIDER | Duratex | TC 65/35 RIPSTOP |  | KR04041_CQTLP107_PR | 모델컷 | 베이지 | 모델컷 |  | 사계절
CQR |  |  | TLP125 | 립스탑팬츠 | Liberator | Legacy |  | RAIDER | Duratex | TC 65/35 RIPSTOP | Built to Last | KR04041_CQTLP107_PR | 모델컷 | 그린 | 모델컷 | 2025_03 | 사계절
CQR |  | TLP137 | TLP135 | 립스탑팬츠 | Liberator | Legacy |  | RAIDER | Duratex | TC 65/35 RIPSTOP | No Task Too Tough. , Built to Last | KR04041_CQTLP107_PR | 모델컷 | 프린트 | 모델컷 |  | 사계절
CQR |  |  | TOK100 | 인터락메쉬165 | Covert |  | Frost | BASIC | Pro Mesh | P100 INTERLOCK MESH | The Classic at the Ready | KR20021_CQTOK001_PR | 모델컷 | 화이트 | 마네킹 |  | 사계절
CQR |  |  | TOK002 | 인터락메쉬165 | Covert |  | Frost | ESSENTIAL | Pro Mesh | P100 INTERLOCK MESH | Build Your Professional Identity. | KR20021_CQTOK001_PR | 모델컷 | 연블루 | 마네킹 |  | 사계절
CQR |  |  | TOK012 | 인터락메쉬165 | Liberator | Modern |  |  | Armaflex | P100  (오리지널 SORONA) | EVERY MOVE COUNTS | KR20021_CQTOK001_PR | 모델컷 | 미정 | 마네킹 | 2026_04 | 사계절
CQR |  |  | TOK171 | 소로나 | Liberator | Modern |  | VEILFLEX | Armaflex | P100  (오리지널 SORONA) | EVERY MOVE COUNTS | KR20021_CQTOK001_PR | 모델컷 | 스틸 블루 | 마네킹 | 2026_04 | 사계절
CQR |  |  | TOK271 | 벤투라 | Covert |  | 없음 | COMMANDER | Ventura | P100 MESH | Command with Class. | KR20021_CQTOK001_PR | 모델컷 | 블루 | 마네킹 | 2024_12 | 사계절
CQR |  |  | TOS101 | 인터락메쉬165 | Liberator | Legacy | Frost | RANGER | Pro Mesh | P100 INTERLOCK MESH | GO HARDER | KR04121_CQTOS101_PR | 모델컷 | 베이지 | 마네킹 | 2024_11 2026_01 | 사계절
CQR |  |  | TOS111 | 인터락메쉬165 | Liberator | Legacy | Frost | RANGER | Pro Mesh | P100 INTERLOCK MESH | First Shield Under Plates. | KR04121_CQTOS101_PR | 모델컷 | 베이지 | 마네킹 | 2024_11 | 사계절
CQR |  |  | TOS120 | 인터락메쉬165 | Liberator | Legacy | Frost | GRIT | Pro Mesh | P100 INTERLOCK MESH | Train With Grit | KR04121_CQTOS101_PR | 모델컷 | 화이트 | 마네킹 | 2024_11 2026_01 | 사계절
CQR |  |  | TOS121 | 인터락메쉬165 | Liberator | Legacy | Frost | GRIT | Pro Mesh | P100 INTERLOCK MESH | Train With Grit | KR04121_CQTOS101_PR | 모델컷 | 화이트 | 마네킹 | 2024_11 2026_01 | 사계절
CQR |  |  | TOS130 | 인터락메쉬165 | Liberator | Modern | Frost | STRIKER RUGBY | Pro Mesh | P100 INTERLOCK MESH | Unscathed. Unstoppable. | KR06071_CQTOS230_PR | 모델컷 | 블루 | 마네킹 | 2024_11 2026_01 | 사계절
CQR |  |  | TOS301 | 인터락메쉬165 | Liberator | Modern | Frost | Caliber | Vapor-Vein | P100 INTERLOCK MESH | CONTROL THE HEAT | KR21011_CQTOS201_PR | 모델컷 |  |  |  | 사계절
CQR |  |  | TOS303 | 인터락메쉬165 | Liberator | Modern | Frost | Warden | Vapor-Vein | P100 INTERLOCK MESH | HOT. PURSUE. COOL | KR21011_CQTOS201_PR | 모델컷 |  |  |  | 사계절
CQR |  |  | TOK004 | 인터락메쉬165 | Covert |  | Frost | PRO | Pro Mesh | P100 INTERLOCK MESH | Define Your Professional Identity. | KR04061_CQTOK004_PR | 모델컷 | 화이트 | 마네킹 |  | 사계절
CQR |  | TLP730 | TLP731 | 플렉스팬츠 | Liberator | Modern | Marauder | CAPTAIN | DuraFlex | P63/C34/S3 RIPSTOP | Strategic Flex | KR04031_CQTLP710_PR | 모델컷 | 화이트 | 모델컷 | 2024_12 | 사계절
CQR |  |  | TLP760 | 플렉스팬츠 | Liberator | Modern |  | WARRIOR MARKSMAN | DuraFlex | P63/C34/S3 RIPSTOP | Ready to Load | KR04031_CQTLP710_PR | 모델컷 | 베이지 | 모델컷 | 2025_12 | 사계절
