# Source: 1PR상품관리_BASE.xlsx
# Local/cache path: C:\MY_FULL_AI\MY_CUSTOM_CODEX-COMPANY\_local\cache\deep\xlsx\1PR상품관리_BASE.xlsx
# mtime: 2026-08-27T17:00:55
# size_bytes: 6285403
# Sheets: 모델별채산성, 반품율, FEE
# Mode: deep-initial (values+colors)
# Extracted: 2026-08-27T17:01:07+09:00

## 모델별채산성
계정 | 브랜드 |  | PRSKU | PR별칭 | PR ASIN | 간략모델명 | 단종 |  | 패킹단위 | MSRP | 루트PR | 가격 Standard Price |  | 최종 판매 가격 |  |  | 마진 | 마진(%) | F.O.B | 공급가 +수입부대비용 | 수수료 | fba fee | 배송비 +수출관세 | mpf | 미국수출관세 (관세율 수정) | 무게 |  | 해상배송비 +수출관세 | AIR배송비 +수출관세 |  | 한국수입 부대비용 | PR SKU | PR별칭 | 전체비용 | 원산지 | 성별 | 계절 | 브랜드 | 대분류 | 주무수량 | 실제주문수 | 반품수 | 반품율 | UFF RATE | UFF 수량 | 재처리비용-카이로스 | 리무벌비용-카이로스 | 재생 비율 | 매출 | 반품 상품 수수료 | 반품 상품 공급가 | 반품 상품 배송비 | reimbursement | SPEND | 공급가 | 수수료 | FBA FEE | 배송비 | MPF
KR | TSLA |  | KR04091_TMMUP49_PR | BL_PT_PKT | B0DGTDMVW3 | MUP49 | 단종 |  | 73 | 39.98 | BL_PT_PKT | 18.98 |  | 9.49 |  |  | -1.0100849766780833 | -0.11762269101081713 | 3.46 | 3.48595 | 0.47450000000000003 | 4.93 | 1.0636619178082192 |  | 0.154 | 150 |  | 1.0636619178082192 | 2.4178526839167933 |  | 0.02499999999999991 | KR04091_TMMUP49_PR | BL_PT_PKT | 9.954111917808218 | 베트남 | 남성 | 사계절 | TSLA | 언더레이어 | 1 | 0.9049 | 0.09509999999999996 | 0.0951 | 0.01 | 0.01 | 6.2 | 3.1 | 0.7 | 9.49 | 0.04512494999999998 | 0.33151384499999986 | 0.1011542483835616 | 0.02719717349999999 |  | 3.48595 | 0.47450000000000003 | 4.93 | 1.0636619178082192 | 0
KR | TSLA |  | KR04111_TMMUS74_PR | BL_ST_PKT | B0DP95HC8Q | MUS47 | 단종 |  | 106 | 29.98 | USELESS | 13.98 |  | 11.33109589041096 |  |  | 1.7415069165993824 | 0.15825032663791647 | 2.77 | 2.790775 | 0.566554794520548 | 5.13 | 0.7921460377358491 |  | 0.154 | 118 |  | 0.7921460377358491 | 1.774560433263452 |  | 0.02499999999999991 | KR04111_TMMUS74_PR | BL_ST_PKT | 9.279475832256397 | 베트남 | 남성 | 사계절 | TSLA | 언더레이어 | 1 | 0.9712 | 0.028800000000000048 | 0.0288 | 0.01 | 0.01 | 6.2 | 3.1 | 0.7 | 11.33109589041096 | 0.01631677808219181 | 0.08037432000000014 | 0.022813805886792493 | 0.01135923484931509 |  | 2.790775 | 0.566554794520548 | 5.13 | 0.7921460377358491 | 0
KR | TSLA |  | KR04111_TMMUS74_PR | BL_ST_PKT | B0DP95HC8Q | MUS74 | 단종 |  | 49 | 45.98 | USELESS | 29.98 |  | 27.09880597014925 |  |  | 4.451229910628385 | 0.17083646750799802 | 8.959999999999999 | 9.027199999999999 | 4.606797014925373 | 6.27 | 2.170656326530612 |  | 0.154 | 336 |  | 2.170656326530612 | 4.109756855631141 |  | 0.02499999999999991 | KR04111_TMMUS74_PR | BL_ST_PKT | 22.074653341455985 | 베트남 | 남성 | 사계절 | TSLA | 언더레이어 | 1 | 0.9615 | 0.03849999999999998 | 0.0385 | 0.01 | 0.01 | 6.2 | 3.1 | 0.7 | 27.09880597014925 | 0.17736168507462677 | 0.3475471999999998 | 0.08357026857142852 | 0.04371831413432833 |  | 9.027199999999999 | 4.606797014925373 | 6.27 | 2.170656326530612 | 0
KR | TSLA |  | KR04111_TMMUS74_PR | BL_ST_PKT | B0DP95HC8Q | MUS57 | 단종 |  | 100 | 29.98 | USELESS | 15.98 |  | 15.98 |  |  | 2.9930230150000003 | 0.21283870569746277 | 3.31 | 3.334825 | 1.598 | 5.62 | 0.89724 |  | 0.154 | 111 |  | 0.89724 | 1.928999259259259 |  | 0.02499999999999991 | KR04111_TMMUS74_PR | BL_ST_PKT | 11.450065 | 베트남 | 남성 | 사계절 | TSLA | 언더레이어 | 1 | 0.88 | 0.12 | 0.12 | 0.03 | 0.03 | 6.2 | 3.1 | 0.7 | 15.98 | 0.19176 | 0.40017899999999995 | 0.1076688 | 0.07360080000000001 |  | 3.334825 | 1.598 | 5.62 | 0.89724 | 0
KR | TSLA |  | KR19111_TMMUS17_PR | BL_ST | B0DP9BFQYB | MUS27 | 단종 |  | 101 | 35.98 | BL_ST | 11.98 |  | 12.88857142857143 |  |  | 6.142612675979493 | 0.4830178947262664 | 2.59 | 2.609425 | 0.6444285714285716 | 2.5 | 0.7825233663366337 |  | 0.154 | 101 |  | 0.7825233663366337 | 1.8056513458012466 |  | 0.02499999999999991 | KR19111_TMMUS17_PR | BL_ST | 6.536376937765205 | 베트남 | 남성 | 사계절 | TSLA | 언더레이어 | 1 | 0.9867 | 0.013299999999999979 | 0.0133 | 0.01 | 0.01 | 6.2 | 3.1 | 0.7 | 12.88857142857143 | 0.008570899999999987 | 0.03470535249999994 | 0.01040756077227721 | 0.009071796999999987 |  | 2.609425 | 0.6444285714285716 | 2.5 | 0.7825233663366337 | 0
KR | TSLA |  | KR19111_TMMUS17_PR | BL_ST | B0DP9BFQYB | MUS73 | 단종 |  | 47.4197496947497 | 39.98 | BL_ST | 26.98 |  | 23.48623376623377 |  |  | 5.067777069517177 | 0.2157764893238496 | 8.04 | 8.100299999999999 | 3.9926597402597412 | 4.15 | 2.055330066258076 |  | 0.154 | 327 |  | 2.055330066258076 | 4.053718638258026 |  | 0.02499999999999991 | KR19111_TMMUS17_PR | BL_ST | 18.29828980651782 | 베트남 | 남성 | 사계절 | TSLA | 언더레이어 | 1 | 1 | 0 | 0 | 0.01 | 0.01 | 6.2 | 3.1 | 0.7 | 23.48623376623377 | 0 | 0 | 0 | 0 |  | 8.100299999999999 | 3.9926597402597412 | 4.15 | 2.055330066258076 | 0
KR | TSLA |  | KR19111_TMMUS17_PR | BL_ST | B0DP9BFQYB | MUS97 | 단종 |  | 100 | 29.98 | BL_ST | 15.98 |  | 11.98 |  |  | 2.2514336349999997 | 0.19576321951516415 | 3.17 | 3.193775 | 0.5990000000000001 | 4.67 | 0.87568 |  | 0.154 | 129 |  | 0.87568 | 1.9074392592592593 |  | 0.02499999999999991 | KR19111_TMMUS17_PR | BL_ST | 9.338455 | 베트남 | 남성 | 사계절 | TSLA | 언더레이어 | 1 | 0.96 | 0.040000000000000036 | 0.04 | 0.01 | 0.01 | 6.2 | 3.1 | 0.7 | 11.98 | 0.023960000000000026 | 0.12775100000000011 | 0.03502720000000003 | 0.018790800000000017 |  | 3.193775 | 0.5990000000000001 | 4.67 | 0.87568 | 0
KR | TSLA |  | KR19111_TMMUS17_PR | BL_ST | B0DP9BFQYB | MUS78 | 단종 |  | 30 | 59.98 | BL_ST | 31.98 |  | 22.11571428571429 |  |  | 1.1896739686761961 | 0.057929303769911775 | 10.44 | 10.5183 | 3.7596714285714294 | 3.27 | 2.899426666666667 |  | 0.154 | 373 |  | 2.899426666666667 | 5.965290864197531 |  | 0.02499999999999991 | KR19111_TMMUS17_PR | BL_ST | 20.447398095238096 | 베트남 | 남성 | 사계절 | TSLA | 언더레이어 | 1 | 0.9286 | 0.07140000000000002 | 0.0714 | 0.01 | 0.01 | 6.2 | 3.1 | 0.7 | 22.11571428571429 | 0.2684405400000001 | 0.7510066200000002 | 0.20701906400000006 | 0.07540004220000004 |  | 10.5183 | 3.7596714285714294 | 3.27 | 2.899426666666667 | 0
KR | TSLA |  | KR19111_TMMUS17_PR | BL_ST | B0DP9BFQYB | MUS76 | 단종 |  | 50 | 49.980000000000004 | BL_ST | 28.98 |  | 31.98 |  |  | 8.455022869999997 | 0.26438470512820506 | 9.54 | 9.61155 | 5.4366 | 6.1 | 2.24416 |  | 0.154 | 311 |  | 2.24416 | 4.147678518518519 |  | 0.02499999999999991 | KR19111_TMMUS17_PR | BL_ST | 23.392310000000002 | 베트남 | 남성 | 사계절 | TSLA | 언더레이어 | 1 | 1 | 0 | 0 | 0.01 | 0.01 | 6.2 | 3.1 | 0.7 | 31.98 | 0 | 0 | 0 | 0 |  | 9.61155 | 5.4366 | 6.1 | 2.24416 | 0
KR | TSLA |  | KR19111_TMMUS17_PR | BL_ST | B0DP9BFQYB | MUS71 | 단종 |  | 77.72020725388602 | 39.980000000000004 | BL_ST | 18.98 |  | 20.584 |  |  | 5.745719219666672 | 0.3171991054209509 | 4.35 | 4.382624999999999 | 3.49928 | 4.07 | 1.168483333333333 |  | 0.154 | 193 |  | 1.168483333333333 | 2.4501469135802467 |  | 0.02499999999999991 | KR19111_TMMUS17_PR | BL_ST | 13.120388333333333 | 베트남 | 남성 | 사계절 | TSLA | 언더레이어 | 1 | 0.88 | 0.12 | 0.12 | 0.03 | 0.03 | 6.2 | 3.1 | 0.7 | 20.584 | 0.4199136 | 0.5259149999999999 | 0.14021799999999995 | 0.10932364800000002 |  | 4.382624999999999 | 3.49928 | 4.07 | 1.168483333333333 | 0
