# Source: 00_PR_LINK.xlsx
# Local/cache path: C:\MY_FULL_AI\MY_CUSTOM_CODEX-COMPANY\_local\cache\deep\xlsx\00_PR_LINK.xlsx
# mtime: 2026-08-27T17:01:11
# size_bytes: 48455
# Sheets: list
# Mode: deep-initial (values+colors)
# Extracted: 2026-08-27T17:01:11+09:00

## list
LINK_MODEL | PR | LINK_PR | Season
R14 | KR19111_TMMUB23_PR | BL_SS | 사계절
R24 | KR19111_TMYUD54_PR | THRM_BL_LS | 겨울
RX1 | KR19111_TMYUD54_PR | THRM_BL_LS | 겨울
PX6 | KR05041_TMYUP51_PR | USELESS | USELESS
BK30 | KR19111_TFBK30_PR | USELESS | USELESS
P21 | KR05041_TMYUP51_PR | USELESS | USELESS
R21 | KR19111_TMYUD54_PR | THRM_BL_LS | 겨울
WP21 | KR20011_TMXUP21_PR | USELESS | USELESS
R34 | KR19111_TMYUD54_PR | THRM_BL_LS | 겨울
T32 | KR19111_TMYUT57_PR | THRM_BL_TRTLNK | 겨울
V35 | KR19111_TMYUV35_PR | USELESS | USELESS
WR34 | KR19111_TMXUT32_PR | USELESS | USELESS
WT32 | KR19111_TMXUT32_PR | USELESS | USELESS
P43 | KR05041_TMYUP51_PR | USELESS | USELESS
R44 | KR19111_TMYUD54_PR | THRM_BL_LS | 겨울
MHS100 | KR19111_TMMHS100_PR | USELESS | USELESS
WHS200 | KR19111_TMWHS200_PR | USELESS | USELESS
E621 | KR19112_TFX575_PR | USELESS | USELESS
WR11 | KR19111_TMFUD01_PR | USELESS | USELESS
WR13 | KR19111_TMFTS31_PR | USELESS | USELESS
L510 | KR20011_TFRX310_PR | USELESS | USELESS
M102 | KR19111_ATM111_PR | USELESS | USELESS
M103 | KR19111_ATM107_PR | USELESS | USELESS
M104 | KR19111_ATM107_PR | USELESS | USELESS
M105 | KR19111_ATM107_PR | USELESS | USELESS
W106 | KR19111_ATW214_PR | USELESS | USELESS
K107 | KR19111_ATK307_PR | USELESS | USELESS
K108 | KR19111_ATK307_PR | USELESS | USELESS
V471 | KR20061_MKV474_PR | USELESS | USELESS
R11 | KR19111_TMMUD11_PR | BL_LS | 사계절
T11 | KR19111_TMMUT12_PR | BL_TRTLNK | 사계절
R13 | KR19111_TMMUB23_PR | BL_SS | 사계절
R15 | KR19111_TMMUA05_PR | BL_SLVLESS | 사계절
P16 | KR04073_TMMUP19_PR | BL_PT | 사계절
MTP07 | KR22061_TMMBH22_PR | USELESS | USELESS
MTS03 | KR04071_TMMSS01_PR | SWM_SHRT_SS | 여름
XMS01 | KR19111_TMYZN21_PR | NCK_GAITOR | 겨울
P33 | KR05041_TMYUP51_PR | USELESS | USELESS
E733 | KR19112_TFX575_PR | USELESS | USELESS
W105 | KR19111_ATW105_PR | USELESS | USELESS
W109 | KR19111_ATW105_PR | USELESS | USELESS
